"ASP.NET Core Fundamentals","aspdotnet-core-fundamentals"
"Picturing Architecture: UML (The Good Bits) and More","picturing-architecture-uml"
"ABAP Workbench: The Big Picture","abap-workbench-big-picture"
"Play by Play: C# Q&A with Scott Allen and Jon Skeet","play-by-play-csharp-q-and-a-with-scott-allen-and-jon-skeet"
"Overview of the TOGAF® 9.1 Enterprise Architecture Framework","togaf-9-1-enterprise-architecture-framework-overview"
"Creating Your First Spring Boot Application","spring-boot-first-application"
"Working with JavaScript and WordPress","wordpress-building-better-ux-javascript"
"Linux Network Programming","linux-network-programming"
"Hands on Responsive Design Using a CSS Preprocessor","hands-on-responsive-design-css-preprocessor"
"Ghost Blogging Engine: First Look","ghost-blogging-engine"
"Beginning Data Visualization with R","r-data-visualization-beginner"
"Build Cross Platform React Native Apps with Exponent and Redux","build-react-native-exponent-redux-apps"
"ASP.NET Core 1.0 Fundamentals","aspdotnet-core-1-0-fundamentals"
"SQL Server: Building Simple Asynchronous Applications","sqlserver-build-simple-asynchronous-applications"
"Prism Problems & Solutions: Loading Dependent Views","prism-problems-solutions"
"Microsoft Azure: The Big Picture","microsoft-azure-big-picture"
"How Git Works","how-git-works"
"F# Fundamentals","fsharp-fundamentals"
"First Look: C++ Core Guidelines and the Guideline Support Library","cplusplus-core-guidelines-and-support-library-first-look"
"Regular Expression Fundamentals","regular-expressions-fundamentals"
"Design Patterns in Java: Behavioral","design-patterns-java-behavioral"
"Using Git with a GUI","using-git-with-gui"
"Using Force.com Integration APIs to Connect Your Applications","using-forcedotcom-integration-aps-connect-applications"
"Object-oriented PHP: Classical Inheritance Model","object-oriented-php-classical-inheritance-model"
"Java Fundamentals: Collections","java-fundamentals-collections"
"Scalable Dynamic Graphs & Charts Using AngularJS and SVG","angularjs-svg-scalable-dynamic-graphs-charts"
"Building Your First Xamarin.Android App from Start to Store","android-xamarin-from-start-to-store"
"An Introduction to Algorithmics","algorithmics-introduction"
"TypeScript In-depth","typescript-in-depth"
"Android Material Design with Design Support Library","android-material-design-design-support-library"
"Mastering React Testing with Jest","jest-mastering-react-testing"
"Java Platform: Working with Databases Using JDBC","jdbc-java-platform-working-with-databases"
"Using the Speech Recognition and Synthesis .NET APIs","dot-net-api-using-speech-recognition-synthesis"
"Electron Playbook","electron-playbook"
"More Effective LINQ","linq-more-effective"
"Introducing the Office UI Fabric","introducing-office-ui-fabric"
"Designing Fluent APIs in C#","designing-fluent-apis-c-sharp"
"WCF Power Topics","wcf-power-topics"
"Test-driven Rails with RSpec, Capybara, and Cucumber","test-driven-rails-rspec-capybara-cucumber"
"Gin: A Website Application Framework for Go","gin-go-web-app-framework"
"Using ES6 with TypeScript","es6-with-typescript"
"Angular 2: First Look","angular-2-first-look"
"Using GitFlow","using-gitflow"
"Play By Play: Angular Internationalization with John Papa and Brian Clark","play-by-play-angular-internationalization-john-papa-brian-clark"
"Understanding Machine Learning with R","r-understanding-machine-learning"
"Getting Started with HDFS","hdfs-getting-started"
"Firebase Fundamentals","firebase-fundamentals"
"Angular Material Fundamentals","angular-material-fundamentals"
"Getting Started Building Windows Services with Topshelf","topshelf-getting-started-building-windows-services"
"React and Flux for Angular Developers","react-flux-angular"
"Babel: Get Started","babel-get-started"
"Getting Started with Wijmo 3","wijmo-3-getting-started"
"Getting Started with Android Material Design","android-material-design-getting-started"
"Passwords: Keys to the Kingdom","passwords-keys-kingdom"
"Understanding Machine Learning","understanding-machine-learning"
"Using the MongoDB C# v2 Driver","mongo-db-csharp-v2-driver"
"Play by Play: ASP.NET Core 1.0 on any OS with John Papa and Shayne Boyer","play-by-play-asp-net-core-1-0-on-any-os-john-papa-shayne-boyer"
"GORM: An Object Relational Mapper for Go","gorm-go-object-relational-mapper"
"Getting Productive with Chef Cookbooks","chef-cookbooks-getting-productive"
"Managing Xcode Project Dependencies with CocoaPods","cocoapods-xcode-project-dependencies"
"Play by Play: Building a Node Web API with Sam Artioli and John Papa","play-by-play-node-web-api-john-papa-sam-artioli"
"HTTP/2 Fundamentals","http2-fundamentals"
"Design Patterns in C++: Creational","design-patterns-cpp-creational"
"C# Best Practices: Collections and Generics","csharp-best-practices-collections-generics"
"Security for Hackers and Developers: Overview","security-hackers-developers"
"On Polyglot Programming","pluralsight-originals-polyglot-programming"
"Play By Play: Customizing Gradle with Plugins","play-by-play-customizing-gradle-with-plugins"
"Domain-Driven Design in Practice","domain-driven-design-in-practice"
"Real-time Web Dashboards with Highcharts","real-time-web-dashboards-highcharts"
"PHP Fundamentals","php-fundamentals"
"Modern Web Layout with Flexbox and CSS Grid","modern-web-layout-flexbox-css-grid"
"Practical Design Patterns in JavaScript","javascript-practical-design-patterns"
"Apex Academy: Absolute Beginner's Guide to Coding in Salesforce","apex-absolute-beginner-guide-coding-salesforce"
"Introduction to Universal Windows Platform Development with XAML","windows-10-universal-apps-xaml"
"Automated Tests with PHPUnit","automated-tests-phpunit"
"Building Data-driven React Applications with Relay, GraphQL, and Flux","react-apps-with-relay-graphql-flux"
"Building Distributed Applications with Go","go-build-distributed-applications"
"Rapid JavaScript Training","rapid-javascript-training"
"JavaScript: From Fundamentals to Functional JS","javascript-from-fundamentals-to-functional-js"
"Agile for One","agile-for-one"
"Build an HTML Helper Library for ASP.NET MVC 5","html-helper-library-aspdotnet-mvc5"
"JavaScript: Advanced Fundamentals to jQuery & Pure DOM Scripting","advanced-js-jquery-pure-dom-scripting-fundamentals"
"Prism Problems & Solutions: Loading Modules Based on User Roles","prism-loading-modules-user-roles"
"Styling React Components","react-styling-components"
"Practical SQL Server High Availability and Disaster Recovery","sql-server-high-availability-disaster-recovery"
"Testing Ruby Applications with RSpec","rspec-ruby-application-testing"
"Getting Started with Google Play In-app Billing","google-play-in-app-billing"
"Building Blocks of Biml","building-blocks-biml"
"Making Sense of UX and Design in the Enterprise","ux-design-enterprise-making-sense"
"Skype Web SDK: Audio, Video, and Conferencing","skype-web-sdk-audio-video-conferencing"
"OAuth2 and OpenID Connect Strategies for Angular and ASP.NET","oauth2-openid-connect-angular-aspdotnet"
"Yeoman Fundamentals","yeoman-fundamentals"
"Responsive HTML Email Design","responsive-html-email-design"
"UI Prototyping with Framer.js","ui-prototyping-framer-js"
"Getting Started with Hazelcast","hazelcast-getting-started"
"Alan Turing's Wonderful Machine","alan-turing-wonderful-machine"
"Basics of Programming with JavaScript","javascript-programming-basics"
"Tactical Design Patterns in .NET: Control Flow","tactical-design-patterns-dot-net-control-flow"
"Building Scalable APIs with the AWS API Gateway","scalable-aws-api-gateway"
"Integrating Payments with Ruby on Rails","ruby-on-rails-integrating-payments"
"Building a Web Application with Polymer.js and Material Design","building-web-application-polymer-material-design"
"NPM Playbook","npm-playbook"
"Building Your First Xamarin.iOS App from Start to Store","ios-xamarin-from-start-to-store"
"Internationalization with AngularJS and ASP.NET","internationalization-angular-js-aspdotnet"
"JavaScript Objects and Prototypes","javascript-objects-prototypes"
"Start Developing for Android","android-start-developing"
"Serverless Web Applications","web-applications-without-server"
"Microsoft Azure Service Bus Brokered Messaging In-depth","microsoft-azure-service-brokered-messaging"
"Functional Programming with C#","functional-programming-csharp"
"Akka.NET Testing Fundamentals","akka-dotnet-testing-fundamentals"
"Professionalism for Developers","professionalism-for-developers"
"What's New in PHP 7","php-7-whats-new"
"Building Web Applications with Node.js and Express 4.0","nodejs-express-web-applications"
"Java Fundamentals: The Java Language","java-fundamentals-language"
"Creating Custom Controls in Xamarin.Forms","custom-controls-xamarin-forms"
"Exploring C# 6 with Jon Skeet","csharp-with-jon-skeet"
"Build a Better Blog with a Static Site Generator","static-site-generator-build-better-blog"
"Dynamics CRM Developer: Part 4","dynamics-crm-developer-part4"
"iOS 9 Fundamentals","ios-9-fundamentals"
"AngularJS Unit Testing in-depth, Using ngMock","angularjs-ngmock-unit-testing"
"WebPageTest Deep Dive","webpagetest-deep-dive"
"Creating Printed Circuit Boards with EAGLE","eagle-printed-circuit-boards"
"Developing SharePoint 2013 Solutions with JavaScript: Part 3","developing-sharepoint-2013-javascript-part3"
"User Experience Tips and Tricks for Developers","ux-tips-tricks-developers"
"Improving Your MVC Applications with 10 Extension Points","mvc-applications-10-extension-points-improving"
"Exploratory Data Analysis with R","r-data-analysis"
"Visual Studio 2015: Essentials to the Power-User","visual-studio-2015-essentials-power-user"
"HDInsight Deep Dive: Storm, HBase, and Hive","hdinsight-deep-dive-storm-hbase-hive"
"Beginning Automated Testing of Xamarin Applications","beginning-automated-testing-xamarin-applications"
"Getting Started with JSON in C# Using Json.NET","json-csharp-jsondotnet-getting-started"
"Modern, Modular JavaScript with SystemJS and jspm","javascript-systemjs-jspm"
"Learn QlikView to Easily Create a Great Data Discovery Tool","qlikview-create-data-discovery-tool"
"Stateful Reactive Concurrent SPAs with SignalR and Akka.NET","akkadotnet-signalr-stateful-reactive-concurrent-spas"
"Accessing Data with F# Type Providers","accessing-data-fsharp-type-providers"
"Microservices Architecture","microservices-architecture"
"Introduction to Developing Applications with IBM Bluemix","ibm-bluemix-applications"
"Creating Well-tested Applications in Go","go-testing-applications"
"Outside-In Test Driven Development SPA Edition","outside-test-driven-development-spa"
"C# Best Practices: Improving on the Basics","csharp-best-practices-improving-basics"
"Java EE: The Big Picture","java-ee-big-picture"
"Understanding OWIN and Katana","owin-katana-understanding"
"Data Access in Node.js Using Knex","nodejs-data-access-using-knex"
"Apache Spark Fundamentals","apache-spark-fundamentals"
"Building a Real-time App with React, Flux, Webpack, and Firebase","build-isomorphic-app-react-flux-webpack-firebase"
"Authenticating Your Angular SPA with ASP.NET Web API and Auth0","authenticating-angular-spa-aspnet-webapi-auth0"
"Getting Started with Spring Data REST","spring-data-rest-getting-started"
"Introduction to npm as a Build Tool","npm-build-tool-introduction"
"Microsoft Edge for Developers","microsoft-edge-developers"
"Developer's T-SQL Playbook","tsql-playbook"
"Triggers in Oracle","oracle-triggers"
"Play by Play: React and Falcor with Brian Holt","play-by-play-react-babel-webpack-falcor-brian-holt"
"ADO.NET by Example","adodotnet-by-example"
"What's New in iOS 9","ios9-whats-new"
"SAP Business Warehouse: The Big Picture","sap-business-warehouse"
"Gradle Fundamentals","gradle-fundamentals"
"Beginning PowerShell Scripting for Developers","beginning-powershell-scripting-developers"
"Consolidating MVC Views Using Single Page Techniques","mvc-application-techniques"
"Streams, Collectors, and Optionals for Data Processing in Java 8","java-8-data-processing-streams-collectors-optionals"
"Android Fundamentals: Data Binding","android-data-binding"
"Continuous Integration with psake and TeamCity: Getting Started","continuous-integration-psake-teamcity-getting-started"
"Improving Message Throughput in Akka.NET","akka-dotnet-improving-messaging-throughput"
"Crisis Communication and Technology: Communicating with Colleagues","crisis-communication-technology-colleagues"
"JavaScript Templating with Handlebars","handlebars-javascript-templating"
"Using ASP.NET MVC with Umbraco","aspdotnet-mvc-umbraco"
"WPF and MVVM: Advanced Model Treatment","wpf-mvvm-advanced-model-treatment"
"C# Fundamentals with Visual Studio 2015","c-sharp-fundamentals-with-visual-studio-2015"
"Building Line of Business Applications with Visual Studio LightSwitch 2015","visual-studio-lightswitch-2015-lob-apps"
"Getting Started with Microsoft Azure Shared Access Signatures","microsoft-azure-access-signatures-getting-started"
"Ruby Beyond the Basics","ruby-beyond-the-basics"
"Introduction to Azure DocumentDB","azure-documentdb-introduction"
"Integrating Docker with DevOps Automated Workflows","integrating-docker-with-devops-automated-workflows"
"Stripe Fundamentals with ASP.NET MVC","stripe-fundamentals-with-asp-net-mvc"
"Automating UI Tests for WPF Applications","wpf-applications-automating-ui-tests"
"The PostgreSQL Document Database","postgresql-document-database"
"High-performance Computing in C++","cpp-high-performance-computing"
"Web Accessibility: Getting Started","web-accessibility-getting-started"
"From Collections to Streams in Java 8 Using Lambda Expressions","java-8-lambda-expressions-collections-streams"
"Beginning Mobile Development with Xamarin","beginning-mobile-development-xamarin"
"Swift in Depth","swift-in-depth"
"Building Reactive Concurrent WPF Applications with Akka.NET","akka-dotnet-building-reactive-concurrent-wpf-applications"
"Building Strongly-typed AngularJS Apps with ASP.NET MVC 5","building-strongly-typed-angularjs-apps-aspdotnet-mvc5"
"Angular Routing In-depth","angular-routing-in-depth"
"Career Strategies and Opportunities for Salesforce Platform Developers","salesforce-developers-career-strategies-opportunities"
"Seamless JavaScript Testing with Wallaby.js","javascript-testing-wallaby-js"
"Building Realtime Angular Controls","building-realtime-angular-controls"
"Visual Studio Code","visual-studio-code"
"React.js on Rails: Building a Full Stack Web App","reactjs-on-rails-building-full-stack-web-app"
"Play by Play: Getting Started with Laravel 5 with Steven Maguire","play-by-play-laravel-5-getting-started"
"Building Better Go Web Apps with the Gorilla Toolkit","build-go-apps-gorilla-toolkit"
"Webpack Fundamentals","webpack-fundamentals"
"Scaling Applications with Microservices and NServiceBus","microservices-nservicebus-scaling-applications"
"Implementing Logging and Dependency Injection in Akka.NET","akka-dotnet-implementing-logging-dependency-injection"
"Full Stack Web Development with Python (WEB2PY)","full-stack-web-development-python-web2py"
"Design Patterns in Java: Structural","design-patterns-java-structural"
"Introduction to Browser Security Headers","browser-security-headers"
"Building a Full-Stack App with React and Express","react-express-full-stack-app-build"
"Getting Started with JD Edwards EnterpriseOne Business Services","jdedwards-business-services-getting-started"
"PostgreSQL: Advanced SQL Queries","postgresql-advanced-sql-queries"
"Understanding Enterprise Architecture","understanding-enterprise-architecture"
"Prism Problems & Solutions: Mastering TabControl","prism-mastering-tabcontrol"
"Building Applications with React and Flux","react-flux-building-applications"
"Getting Started with Asynchronous Programming in .NET","asynchronous-programming-dotnet-getting-started"
"Cassandra for Developers","cassandra-developers"
"Xamarin.Forms and Data","xamarin-forms-and-data"
"Occasionally Connected Windows Mobile Apps: Enterprise LOB","occasionally-connected-windows-mobile-apps-lob"
"More Expressive Testing in .NET with MSpec","expressive-testing-dotnet-mspec"
"Java Fundamentals: Generics","java-generics"
"Angular with TypeScript","angular-typescript"
"Scrum Master Skills","scrum-master-skills"
"Building Concurrent Applications with the Actor Model in Akka.NET","akka-dotnet-actor-model-building-concurrent-applications"
"Building Highly Scalable Web Applications in Azure","azure-highly-scalable-web-applications"
"Getting Started with Entity Framework 6","entity-framework-6-getting-started"
"Windows Runtime Internals","windows-runtime-internals"
"Programming PostgreSQL","programming-postgresql"
"Generics in VB.NET","vb-generics"
"Data Mining Algorithms in SSAS, Excel, and R","data-mining-algorithms-ssas-excel-r"
"Skype Web SDK: Getting Started","skype-web-sdk-getting-started"
"Modern Software Architecture: Domain Models, CQRS, and Event Sourcing","modern-software-architecture-domain-models-cqrs-event-sourcing"
"Coding for Views","coding-for-views"
"Project Management for Software Engineers","software-engineer-project-management"
"Drupal Coding Standards","drupal-coding-standards"
"Object-oriented PHP: Essential Constructs","object-oriented-php-essential-constructs"
"Understanding the Java Virtual Machine: Security","understanding-java-vm-security"
"SugarCRM CE: Getting Started","sugar-crm-ce-getting-started"
"Practical MVVM","practical-mvvm"
"Type-Driven Development with F#","fsharp-type-driven-development"
"Cloud Oriented Programming","cloud-oriented-programming"
"Building a Site with AngularJS and PHP","angularjs-php-building-site"
"Using Google PageSpeed Insights to Improve Web Performance","google-pagespeed-insights-web-performance"
"Data Analytics: Hands On","data-analytics-hands-on"
"Building a Realtime Web Application with Meteor.js","meteorjs-web-application"
"Better User Experiences and More Robust Applications with Polly","polly-user-experiences-robust-applications"
"Understanding ABAP Dictionary","abap-dictionary-understanding"
"What's New in iOS 8","ios8-whats-new"
"Measuring .NET Performance","measuring-dotnet-performance"
"Go: Getting Started","go-getting-started"
