Fnkln SmCap Gr Adv,%,https://isc.nwservicecenter.com/iApp/isc/app/pens/viewProspectus.action?cusip=354713653
GdmnScs SmMDCap Gr Inst,%,https://isc.nwservicecenter.com/iApp/isc/app/pens/viewProspectus.action?cusip=38143H746
MFS Intl Val R4,%,https://isc.nwservicecenter.com/iApp/isc/app/pens/viewProspectus.action?cusip=552746646
MSIF MdCap Gr I,%,https://isc.nwservicecenter.com/iApp/isc/app/pens/viewProspectus.action?cusip=617440508
MetWest Ttl Rtn Bd I,5 % ,https://isc.nwservicecenter.com/iApp/isc/app/pens/viewProspectus.action?cusip=592905509
NW FXD SEL OPTN,%<td class="numeric"></tr>
NW Inv Dest Aggr Inst,5 % ,https://isc.nwservicecenter.com/iApp/isc/app/pens/viewProspectus.action?cusip=63867T817
NW Inv Dest Cnsrv Inst,%,https://isc.nwservicecenter.com/iApp/isc/app/pens/viewProspectus.action?cusip=63867T742
NW Inv Dest Mod Aggr Inst,5 % ,https://isc.nwservicecenter.com/iApp/isc/app/pens/viewProspectus.action?cusip=63867T619
NW Inv Dest Mod Cnsrv Inst,%,https://isc.nwservicecenter.com/iApp/isc/app/pens/viewProspectus.action?cusip=63867T544
NW Inv Dest Mod Inst,%,https://isc.nwservicecenter.com/iApp/isc/app/pens/viewProspectus.action?cusip=63867T676
Opp Intl Gr Y,%,https://isc.nwservicecenter.com/iApp/isc/app/pens/viewProspectus.action?cusip=68380L407
Opp Intl SmMd Co Y,%,https://isc.nwservicecenter.com/iApp/isc/app/pens/viewProspectus.action?cusip=68380U506
PIMCO Forgn BdUSDlrHdgInst,5 % ,https://isc.nwservicecenter.com/iApp/isc/app/pens/viewProspectus.action?cusip=693390882
Vngrd 500 Index Fd AS,%,https://isc.nwservicecenter.com/iApp/isc/app/pens/viewProspectus.action?cusip=922908710
Vngrd Bal Indx Adml,5 % ,https://isc.nwservicecenter.com/iApp/isc/app/pens/viewProspectus.action?cusip=921931200
Vngrd Extnd Mkt Indx Adml,%,https://isc.nwservicecenter.com/iApp/isc/app/pens/viewProspectus.action?cusip=922908694
Vngrd Sm Cap Indx Fd AS,%,https://isc.nwservicecenter.com/iApp/isc/app/pens/viewProspectus.action?cusip=922908686
Vngrd Ttl Bnd Mkt ldx Adm,5 % ,https://isc.nwservicecenter.com/iApp/isc/app/pens/viewProspectus.action?cusip=921937603
Vngrd Ttl IntlStkIndx Adml,%,https://isc.nwservicecenter.com/iApp/isc/app/pens/viewProspectus.action?cusip=921909818
Vngrd Ttl StMkt Indx Fd AS,%,https://isc.nwservicecenter.com/iApp/isc/app/pens/viewProspectus.action?cusip=922908728
WF Spec MdCap Val Inst,%,https://isc.nwservicecenter.com/iApp/isc/app/pens/viewProspectus.action?cusip=949915482
WR Ivy Hi Inc I,%,https://isc.nwservicecenter.com/iApp/isc/app/pens/viewProspectus.action?cusip=466000122
